repo,otsikko,url,luotu,kommentteja,reaktioita,kirjoittajan_rooli
gnunn1/tilix,Looking for a new maintainer,https://github.com/gnunn1/tilix/issues/1700,2019-05-05,62,159,OWNER
epwalsh/obsidian.nvim,Community fork | Looking for maintainers?,https://github.com/epwalsh/obsidian.nvim/issues/820,2025-02-01,18,82,NONE
railsware/upterm,Upterm is looking for maintainers,https://github.com/railsware/upterm/issues/1301,2018-05-28,15,81,MEMBER
mpvnet-player/mpv.net,Looking for a new developer or maintainer,https://github.com/mpvnet-player/mpv.net/issues/733,2025-04-30,12,62,COLLABORATOR
nix-community/poetry2nix,Maintenance: Looking for maintainers,https://github.com/nix-community/poetry2nix/issues/1865,2024-11-07,15,46,MEMBER
tulios/kafkajs,Looking for maintainers,https://github.com/tulios/kafkajs/issues/1603,2023-08-08,40,44,COLLABORATOR
ThePrimeagen/ts-rust-zig-deez,Looking for maintainers of specific languages.,https://github.com/ThePrimeagen/ts-rust-zig-deez/issues/84,2023-05-30,134,43,OWNER
fikovnik/ShiftIt,Looking for a new maintainer?,https://github.com/fikovnik/ShiftIt/issues/296,2018-11-13,37,42,OWNER
nikic/FastRoute,Looking for maintainer / Version 2.0,https://github.com/nikic/FastRoute/issues/173,2018-09-18,48,38,OWNER
uber/react-vis,This repository is currently inactive but we're looking for maintainers,https://github.com/uber/react-vis/issues/1303,2020-01-10,27,35,CONTRIBUTOR
isar/hive,Looking for a maintainer,https://github.com/isar/hive/issues/966,2022-05-15,8,35,CONTRIBUTOR
practical-tutorials/project-based-learning,Looking for maintainers,https://github.com/practical-tutorials/project-based-learning/issues/310,2021-08-16,36,34,MEMBER
dequis/purple-facebook,Looking for new maintainer,https://github.com/dequis/purple-facebook/issues/518,2021-05-18,42,30,OWNER
jaredpalmer/razzle,Looking for help / maintainers (Please read),https://github.com/jaredpalmer/razzle/issues/1159,2019-11-13,40,30,COLLABORATOR
meliorence/react-native-snap-carousel,[Help wanted] Looking for maintainers,https://github.com/meliorence/react-native-snap-carousel/issues/632,2019-12-04,24,29,CONTRIBUTOR
CatxFish/obs-v4l2sink,Looking for new maintainer + integration with main OBS build,https://github.com/CatxFish/obs-v4l2sink/issues/56,2020-06-17,6,29,NONE
kalkih/mini-graph-card,🚨 Looking for (more) maintainer(s)!,https://github.com/kalkih/mini-graph-card/issues/527,2021-01-02,16,28,OWNER
highlightjs/highlight.js,Looking for maintainers / contributors / code reviewers...,https://github.com/highlightjs/highlight.js/issues/1678,2018-01-17,56,25,MEMBER
pyfisch/cbor,Looking for Maintainers,https://github.com/pyfisch/cbor/issues/179,2020-02-01,37,25,OWNER
