nimi,lataukset_kk,viimeinen_julkaisu,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
ms,2034134525,2020-12-08,5545,2318159,6,2,5548,37,False,32,https://github.com/vercel/ms
escape-string-regexp,1343001576,2021-04-17,5200,2044639,1,0,570,1,False,10,https://github.com/sindresorhus/escape-string-regexp
yallist,1215511128,2024-04-09,1848,1187300,1,0,217,5,False,17,https://github.com/isaacs/yallist
glob-parent,1213103589,2021-09-29,2487,6788,4,2,82,4,False,16,https://github.com/gulpjs/glob-parent
json-schema-traverse,1211401050,2020-12-13,1848,1067963,1,0,103,14,False,9,https://github.com/epoberezkin/json-schema-traverse
safe-buffer,1157420182,2020-05-10,4055,1261649,2,0,347,16,False,11,https://github.com/feross/safe-buffer
has-flag,1080266021,2021-07-19,2772,1287734,1,0,94,0,False,6,https://github.com/sindresorhus/has-flag
path-key,1040691518,2021-04-09,1883,1771596,1,0,46,0,False,7,https://github.com/sindresorhus/path-key
signal-exit,1016096966,2023-07-29,2277,1770605,2,0,199,11,False,24,https://github.com/tapjs/signal-exit
string_decoder,954414289,2019-08-07,2167,1091725,4,0,35,7,False,16,https://github.com/nodejs/string_decoder
resolve-from,914556466,2019-04-15,2937,1092323,1,0,145,2,False,6,https://github.com/sindresorhus/resolve-from
isarray,889710177,2019-07-08,2086,2097979,1,0,131,2,False,9,https://github.com/juliangruber/isarray
json5,868043130,2022-12-31,5411,1074368,2,1,7161,39,False,27,https://github.com/json5/json5
path-exists,867242448,2021-08-12,4902,1125905,1,0,154,0,False,6,https://github.com/sindresorhus/path-exists
shebang-regex,856090212,2021-08-13,1945,1888701,1,0,48,0,False,4,https://github.com/sindresorhus/shebang-regex
estraverse,826074176,2021-10-25,3235,1803046,3,0,970,39,False,34,https://github.com/estools/estraverse
convert-source-map,817787625,2022-10-17,2395,4241143,2,0,170,7,False,36,https://github.com/thlorenz/convert-source-map
shebang-command,777446851,2019-09-06,1888,1885623,1,0,24,3,False,4,https://github.com/kevva/shebang-command
punycode,771692865,2023-10-30,2734,2016724,2,0,1691,47,False,31,https://github.com/mathiasbynens/punycode.js
fast-deep-equal,766801388,2020-06-08,4389,4968905,1,0,2048,35,False,14,https://github.com/epoberezkin/fast-deep-equal
get-stream,765997891,2024-03-16,2893,2299681,2,0,358,0,False,22,https://github.com/sindresorhus/get-stream
inherits,749687853,2019-06-19,6194,2323492,1,0,353,6,False,7,https://github.com/isaacs/inherits
graceful-fs,742269492,2023-03-16,5113,1159704,1,0,1301,49,False,67,https://github.com/isaacs/node-graceful-fs
node-fetch,722465274,2023-07-25,34871,1817321,5,3,8855,249,False,96,https://github.com/bitinn/node-fetch
function-bind,716928955,2023-10-12,4189,2177864,2,0,139,1,False,6,https://github.com/Raynos/function-bind
@jridgewell/resolve-uri,705851531,2024-02-14,10,1611961,1,0,11,18,False,15,https://github.com/jridgewell/resolve-uri
is-stream,703550690,2024-02-19,2500,2263687,1,0,116,0,False,8,https://github.com/sindresorhus/is-stream
escalade,699598820,2024-08-29,1851,2368706,1,0,153,0,False,10,https://github.com/lukeed/escalade
is-glob,686158236,2021-09-29,2661,6270,3,0,95,2,False,16,https://github.com/micromatch/is-glob
source-map-js,666321119,2024-09-08,737,1275432,1,0,102,5,False,8,https://github.com/7rulnik/source-map-js
es-errors,661921424,2024-02-05,0,0,1,0,10,1,False,5,https://github.com/ljharb/es-errors
estree-walker,660159818,2023-01-20,1283,1169599,1,0,427,9,False,27,https://github.com/Rich-Harris/estree-walker
is-number,651571894,2018-07-04,2612,6502,3,0,284,17,False,15,https://github.com/jonschlinkert/is-number
object-assign,636613195,2017-01-16,12624,2052350,3,0,916,0,False,17,https://github.com/sindresorhus/object-assign
y18n,636391185,2021-04-07,1914,1652118,4,1,154,6,False,22,https://github.com/yargs/y18n
buffer,632302770,2020-11-23,9726,1513316,1,0,1891,57,False,96,https://github.com/feross/buffer
braces,629788642,2024-05-21,2619,1237028,2,3,250,4,False,37,https://github.com/micromatch/braces
universalify,613864789,2023-11-01,1464,3543281,1,0,111,1,False,8,https://github.com/RyanZim/universalify
micromatch,602100213,2024-08-23,4709,1847280,3,1,3039,44,False,69,https://github.com/micromatch/micromatch
to-regex-range,601499105,2019-04-07,2203,5300496,2,0,173,13,False,18,https://github.com/micromatch/to-regex-range
is-extglob,600708122,2016-12-11,2100,5930,2,0,23,0,False,4,https://github.com/jonschlinkert/is-extglob
@types/json-schema,600451085,2023-11-07,1557,1742087,1,0,51432,691,False,19,https://github.com/DefinitelyTyped/DefinitelyTyped
wrappy,598485160,2016-05-17,2464,2102639,1,0,56,7,False,4,https://github.com/npm/wrappy
esutils,595649543,2019-07-31,1888,1790196,2,0,123,10,False,13,https://github.com/estools/esutils
fill-range,594025900,2024-05-21,2299,5461792,3,0,61,8,False,33,https://github.com/jonschlinkert/fill-range
fast-json-stable-stringify,590118424,2019-12-14,2347,4957551,1,0,322,25,False,3,https://github.com/epoberezkin/fast-json-stable-stringify
minimist,587585671,2023-02-09,33291,2004702,3,3,662,14,False,31,https://github.com/minimistjs/minimist
callsites,586416905,2024-06-29,1971,1012134,1,0,274,0,False,10,https://github.com/sindresorhus/callsites
uri-js,575987694,2021-01-10,1923,4745435,1,1,317,31,False,14,https://github.com/garycourt/uri-js
strip-bom,573098969,2021-04-16,1898,2046379,1,0,114,0,False,10,https://github.com/sindresorhus/strip-bom
safer-buffer,562619912,2018-04-08,1756,2151694,1,0,27,6,False,6,https://github.com/ChALkeR/safer-buffer
encodeurl,561378754,2024-03-29,1365,2318351,3,0,40,10,False,4,https://github.com/pillarjs/encodeurl
util-deprecate,558286250,2015-10-07,1985,2198932,1,0,37,2,False,3,https://github.com/TooTallNate/util-deprecate
once,555957261,2016-09-06,3665,2121111,1,0,224,4,False,7,https://github.com/isaacs/once
levn,554747104,2020-04-04,1374,1544784,1,0,84,2,False,10,https://github.com/gkz/levn
imurmurhash,551518207,2013-08-24,1815,5719,1,0,103,3,False,5,https://github.com/jensyt/imurmurhash-js
has-tostringtag,544359343,2024-02-01,894,1605281,1,0,5,1,False,3,https://github.com/inspect-js/has-tostringtag
gensync,540507011,2015-11-23,1307,2570540,1,0,95,15,False,4,https://github.com/loganfsmyth/gensync
natural-compare,538655023,2016-07-22,1452,2125495,1,0,113,0,False,2,https://github.com/litejs/natural-compare-lite
acorn-jsx,538316120,2021-07-09,2621,817417,3,0,670,18,False,38,https://github.com/acornjs/acorn-jsx
optionator,532505215,2024-04-26,1535,1488780,1,0,166,13,False,20,https://github.com/gkz/optionator
json-buffer,529354622,2018-09-10,647,1083541,1,0,41,4,True,15,https://github.com/dominictarr/json-buffer
npm-run-path,528986573,2024-08-26,1781,928087,1,0,110,0,False,14,https://github.com/sindresorhus/npm-run-path
prelude-ls,527461882,2020-04-02,1547,1488726,1,0,425,31,False,14,https://github.com/gkz/prelude-ls
type-check,527288928,2020-04-03,1486,2192557,1,0,211,11,False,6,https://github.com/gkz/type-check
accepts,526885112,2024-08-31,2016,1717765,4,0,265,10,False,37,https://github.com/jshttp/accepts
concat-map,521558994,2022-10-12,2498,1298661,1,0,2,2,False,3,https://github.com/ljharb/concat-map
depd,520290428,2018-10-26,2323,2556983,1,0,327,15,False,17,https://github.com/dougwilson/nodejs-depd
slash,518821842,2023-05-09,4099,4015967,1,0,340,0,False,10,https://github.com/sindresorhus/slash
get-caller-file,517955669,2019-03-09,1826,4350442,1,0,37,6,False,10,https://github.com/stefanpenner/get-caller-file
fast-levenshtein,516424472,2020-07-22,1615,1506124,1,0,613,10,False,20,https://github.com/hiddentao/fast-levenshtein
esrecurse,514515580,2020-08-31,1563,1702132,3,0,80,3,False,13,https://github.com/estools/esrecurse
fresh,514453897,2024-09-04,1541,5019855,4,1,162,10,False,14,https://github.com/jshttp/fresh
mimic-fn,507678411,2023-11-05,1636,1520693,1,0,96,0,False,9,https://github.com/sindresorhus/mimic-fn
base64-js,507380418,2020-11-11,2788,1564057,2,0,881,5,False,23,https://github.com/beatgammit/base64-js
deep-is,502168282,2021-09-04,1421,1547348,1,0,21,0,False,5,https://github.com/thlorenz/deep-is
bytes,494934729,2022-01-28,2391,1080038,2,0,475,12,False,18,https://github.com/visionmedia/bytes.js
source-map-support,489461757,2021-11-19,19601,1546799,3,0,2194,126,False,66,https://github.com/evanw/node-source-map-support
on-finished,488664889,2022-02-22,2069,1780334,2,0,402,15,False,8,https://github.com/jshttp/on-finished
path-parse,486425596,2021-05-25,2172,1929330,1,1,56,8,False,8,https://github.com/jbgutierrez/path-parse
ajv-formats,484070910,2024-03-30,1833,1124792,3,0,228,63,False,36,https://github.com/ajv-validator/ajv-formats
word-wrap,482602396,2023-07-22,1879,2368421,2,1,210,14,False,17,https://github.com/jonschlinkert/word-wrap
mkdirp,482374917,2023-04-24,34778,1948611,1,0,199,1,False,42,https://github.com/isaacs/node-mkdirp
require-from-string,479353449,2018-04-09,1808,1639741,1,0,298,6,True,9,https://github.com/floatdrop/require-from-string
strip-final-newline,475713755,2023-12-13,1237,1746604,1,0,38,0,False,3,https://github.com/sindresorhus/strip-final-newline
doctrine,475162137,2018-11-10,1734,1377829,5,0,456,0,True,33,https://github.com/eslint/doctrine
merge-descriptors,474178803,2023-11-16,954,4062436,1,0,155,0,False,7,https://github.com/sindresorhus/merge-descriptors
is-plain-obj,472331280,2022-06-15,1631,3088043,1,0,105,0,False,7,https://github.com/sindresorhus/is-plain-obj
lodash.merge,472298308,2019-07-10,6697,1672087,2,2,58818,71,False,37,https://github.com/lodash/lodash
require-directory,470484599,2015-05-28,2217,4338986,1,0,409,19,False,12,https://github.com/troygoode/node-require-directory
normalize-path,469622280,2018-04-19,2818,2292539,3,0,112,3,False,11,https://github.com/jonschlinkert/normalize-path
@humanwhocodes/module-importer,468207826,2022-08-18,10,1124195,1,0,26,13,False,2,https://github.com/humanwhocodes/module-importer
setprototypeof,466262688,2019-07-18,1763,5068682,1,0,51,2,False,7,https://github.com/wesleytodd/setprototypeof
run-parallel,466066603,2021-02-10,1520,1799977,1,0,385,1,False,17,https://github.com/feross/run-parallel
json-stable-stringify-without-jsonify,465987969,2016-12-15,1166,1575335,1,0,13,1,False,1,https://github.com/samn/json-stable-stringify
lines-and-columns,465126732,2023-11-07,1288,2280787,1,0,27,10,False,25,https://github.com/eventualbuddha/lines-and-columns
queue-microtask,463294012,2021-03-22,1250,2080081,1,0,190,2,False,11,https://github.com/feross/queue-microtask
@types/unist,455383226,2024-08-15,583,482650,1,0,51432,691,False,17,https://github.com/DefinitelyTyped/DefinitelyTyped
cli-cursor,453541559,2024-07-26,1389,756236,1,0,114,0,False,9,https://github.com/sindresorhus/cli-cursor
clsx,453352234,2024-04-23,7478,548105,1,0,9836,16,False,15,https://github.com/lukeed/clsx
restore-cursor,453282838,2024-07-26,1106,777868,1,0,41,0,False,8,https://github.com/sindresorhus/restore-cursor
delayed-stream,451295978,2015-04-30,1153,2188097,2,0,55,1,False,9,https://github.com/felixge/node-delayed-stream
combined-stream,450583896,2019-05-12,1380,2188156,4,0,145,11,False,17,https://github.com/felixge/node-combined-stream
toidentifier,445717756,2021-11-14,1502,4368444,4,0,6,1,False,3,https://github.com/component/toidentifier
pify,445467939,2022-09-02,4274,1598855,1,0,1503,0,False,13,https://github.com/sindresorhus/pify
kind-of,445362395,2020-01-16,2213,2124171,2,1,354,13,False,26,https://github.com/jonschlinkert/kind-of
anymatch,432801121,2022-11-21,3053,1149091,4,0,401,7,False,18,https://github.com/micromatch/anymatch
supports-preserve-symlinks-flag,428755183,2022-01-03,1388,1245746,1,0,1,1,False,1,https://github.com/inspect-js/node-supports-preserve-symlinks-flag
merge2,427315968,2020-06-03,4518,2917740,1,0,171,7,False,23,https://github.com/teambition/merge2
ieee754,425674938,2020-10-27,1228,1081327,1,0,122,5,False,17,https://github.com/feross/ieee754
loose-envify,419388734,2018-07-10,1968,3548702,1,0,283,6,False,6,https://github.com/zertosh/loose-envify
vary,418307911,2017-09-24,1385,4406042,3,0,65,0,False,7,https://github.com/jshttp/vary
etag,417359534,2017-09-13,2013,4534857,3,0,265,11,False,14,https://github.com/jshttp/etag
parseurl,415439606,2019-04-16,1918,1734638,3,0,187,12,False,11,https://github.com/pillarjs/parseurl
retry,407789653,2021-06-21,1355,2613336,1,0,1258,23,False,15,https://github.com/tim-kos/node-retry
prop-types,405453983,2022-01-05,60306,2311807,3,0,4448,58,True,24,https://github.com/facebook/prop-types
define-data-property,401493666,2024-02-13,110,381261,1,0,2,1,False,7,https://github.com/ljharb/define-data-property
ee-first,398514746,2015-05-25,1132,2438994,2,0,53,1,False,8,https://github.com/jonathanong/ee-first
indent-string,395722666,2021-04-17,1911,3057889,1,0,116,0,False,16,https://github.com/sindresorhus/indent-string
escape-html,395580041,2015-09-01,3043,2500873,1,0,493,3,False,5,https://github.com/component/escape-html
has-property-descriptors,394914262,2024-02-13,788,859436,1,0,3,1,False,3,https://github.com/inspect-js/has-property-descriptors
esprima,394607737,2018-07-13,4458,1541066,1,0,7138,151,False,46,https://github.com/jquery/esprima
@types/babel__template,394250963,2023-11-06,367,1904343,1,0,51421,683,False,9,https://github.com/DefinitelyTyped/DefinitelyTyped
unpipe,392462867,2015-06-14,1163,5053604,2,0,22,0,False,1,https://github.com/stream-utils/unpipe
async,391493890,2024-08-19,36565,926631,5,1,28131,26,False,93,https://github.com/caolan/async
chownr,389271302,2024-04-06,706,3832022,1,1,29,3,False,11,https://github.com/isaacs/chownr
@types/babel__core,387610692,2023-11-20,3022,1905481,1,0,51432,691,False,33,https://github.com/DefinitelyTyped/DefinitelyTyped
object-keys,385349579,2019-04-07,1595,4904,1,0,45,0,False,32,https://github.com/ljharb/object-keys
forwarded,384432657,2021-05-31,622,4075117,3,1,61,10,False,4,https://github.com/jshttp/forwarded
path-type,382929451,2024-07-26,1622,2428675,1,0,81,0,False,7,https://github.com/sindresorhus/path-type
tsconfig-paths,381691906,2023-03-29,10366,914913,17,0,1906,114,False,50,https://github.com/dividab/tsconfig-paths
define-properties,381587121,2023-09-13,1557,6903,1,0,20,1,False,10,https://github.com/ljharb/define-properties
is-unicode-supported,380043707,2024-09-09,848,666394,1,0,86,0,False,7,https://github.com/sindresorhus/is-unicode-supported
d3-array,379545885,2023-05-30,1602,133435,2,0,463,19,False,61,https://github.com/d3/d3-array
core-util-is,377170588,2021-08-31,1808,1693704,1,0,101,4,False,4,https://github.com/isaacs/core-util-is
buffer-from,373955685,2021-07-29,1962,945125,1,0,25,1,False,7,https://github.com/LinusU/buffer-from
available-typed-arrays,370724524,2024-02-19,967,895160,1,0,3,1,False,8,https://github.com/inspect-js/available-typed-arrays
arg,369468962,2022-06-05,3711,1116241,2,0,1199,13,False,14,https://github.com/vercel/arg
assertion-error,366767239,2023-10-18,509,409244,1,0,26,2,False,7,https://github.com/chaijs/assertion-error
p-try,366550737,2021-10-04,1702,1532015,1,0,62,0,False,5,https://github.com/sindresorhus/p-try
d3-path,366422638,2022-12-19,210,121167,2,0,196,5,False,24,https://github.com/d3/d3-path
define-lazy-prop,365925876,2021-04-14,505,1174541,1,0,67,1,False,3,https://github.com/sindresorhus/define-lazy-prop
postcss-value-parser,364440065,2021-11-29,1164,3512274,4,0,145,15,False,36,https://github.com/TrySound/postcss-value-parser
path-is-absolute,363571976,2018-11-08,2937,2056731,1,0,42,0,True,3,https://github.com/sindresorhus/path-is-absolute
sprintf-js,362464261,2023-09-11,2891,1492049,1,0,2138,63,False,8,https://github.com/alexei/sprintf.js
ajv-keywords,362383755,2021-11-21,1407,9177,1,0,257,45,False,43,https://github.com/epoberezkin/ajv-keywords
set-function-length,362344113,2024-03-09,51,232877,1,0,3,1,False,7,https://github.com/ljharb/set-function-length
is-callable,361436876,2022-09-23,1192,4768,1,0,41,3,False,18,https://github.com/inspect-js/is-callable
merge-stream,359344675,2019-05-23,4424,2059364,3,0,212,0,False,13,https://github.com/grncdr/merge-stream
deepmerge,354382224,2023-03-16,13604,1558107,1,0,2816,59,False,46,https://github.com/TehShrike/deepmerge
kleur,353837099,2022-06-26,2917,2132876,1,0,1695,13,False,21,https://github.com/lukeed/kleur
events,353727125,2021-02-27,6717,1326229,3,0,1408,14,False,17,https://github.com/Gozala/events
saxes,352665522,2021-11-07,540,1780495,1,0,84,26,True,30,https://github.com/lddubeau/saxes
globalthis,347589632,2024-04-30,505,561361,1,0,157,2,False,5,https://github.com/ljharb/System.global
