nimi,lataukset_kk,viimeinen_julkaisu_pypi,riippuvia_paketteja,riippuvia_repoja,yllapitajia,advisoryja,repo_tahdet,repo_avoimet_issuet,repo_arkistoitu,versioita,repo
python-dateutil,954014226,2024-03-01,6070,338574,4,0,2633,489,False,34,https://github.com/dateutil/dateutil
mdurl,444706580,2022-08-14,948,11693,1,0,16,2,False,4,https://github.com/executablebooks/mdurl
sniffio,416037733,2024-02-25,479,47737,1,0,112,11,False,6,https://github.com/python-trio/sniffio
distro,311707357,2023-12-24,397,12322,3,0,281,13,False,16,https://github.com/python-distro/distro
colorama,290832208,2022-10-25,3458,189970,2,0,3544,121,False,46,https://github.com/tartley/colorama
shellingham,290298823,2023-10-24,191,4027,2,0,319,19,False,23,https://github.com/sarugaku/shellingham
openpyxl,286743585,2024-06-28,2742,39804,2,1,,,,96,
requests-oauthlib,271445734,2024-03-25,601,95068,7,0,1774,131,False,23,https://github.com/requests/requests-oauthlib
sortedcontainers,224396943,2021-05-16,414,23703,1,0,3982,39,False,40,https://github.com/grantjenks/python-sortedcontainers
requests-toolbelt,217063197,2023-05-01,1632,23519,2,0,1039,94,False,21,https://github.com/requests/toolbelt
defusedxml,200712236,2023-09-29,565,94220,1,0,550,8,False,13,https://github.com/tiran/defusedxml
itsdangerous,180266319,2024-04-16,579,259870,1,0,3133,4,False,27,https://github.com/pallets/itsdangerous
jaraco.classes,160974923,2024-03-31,280,2185,1,0,10,0,False,20,https://github.com/jaraco/jaraco.classes
toml,156218205,2020-11-01,2821,127705,1,0,1135,140,False,16,https://github.com/uiri/toml
cycler,155932547,2023-10-07,632,98815,3,0,69,12,False,6,https://github.com/matplotlib/cycler
backoff,151065151,2022-10-05,567,9394,1,0,2695,64,True,37,https://github.com/litl/backoff
ptyprocess,145426307,2020-12-28,236,84285,3,0,240,21,False,10,https://github.com/pexpect/ptyprocess
asn1crypto,143612420,2022-03-15,174,34080,1,0,362,54,False,33,https://github.com/wbond/asn1crypto
pexpect,141934150,2023-11-25,533,92469,5,0,2848,170,False,20,https://github.com/pexpect/pexpect
jsonpatch,115332361,2023-06-26,179,7724,1,0,441,37,False,42,https://github.com/stefankoegl/python-json-patch
stack-data,91458390,2023-09-30,172,24349,2,0,51,4,False,21,https://github.com/alexmojaki/stack_data
nest-asyncio,81834954,2024-01-21,639,28658,1,0,753,6,True,36,https://github.com/erdewit/nest_asyncio
crashtest,75641306,2022-11-02,26,1535,1,0,24,3,False,4,https://github.com/sdispater/crashtest
mccabe,72386742,2022-01-24,240,139502,1,0,683,12,False,13,https://github.com/pycqa/mccabe
typing-inspect,69266029,2023-05-24,293,7082,1,0,375,24,False,12,https://github.com/ilevkivskyi/typing_inspect
deprecation,68769650,2020-04-20,362,3053,1,0,95,22,False,13,https://github.com/briancurtin/deprecation
text-unidecode,68308441,2019-08-30,97,29115,1,0,69,4,False,5,https://github.com/kmike/text-unidecode
types-certifi,68025097,2022-06-09,28,721,1,0,21,9,False,10,https://github.com/python/typeshed
jsonref,66125799,2023-01-16,127,1275,1,0,154,14,False,10,https://github.com/gazpachoking/jsonref
rfc3339-validator,64635775,2021-05-12,79,5913,1,0,8,6,False,5,https://github.com/naimetti/rfc3339-validator
python-pptx,64003855,2024-08-07,134,2396,1,0,3510,535,False,51,https://github.com/scanny/python-pptx
msrest,56173959,2022-06-13,296,3989,3,0,42,0,True,70,https://github.com/Azure/msrest-for-python
dataclasses-json,52014913,2024-06-09,587,6543,1,0,1486,165,False,77,https://github.com/lidatong/dataclasses-json
future,51965634,2024-02-21,1375,81678,4,2,1189,189,False,52,https://github.com/PythonCharmers/python-future
pandocfilters,50847810,2024-01-18,119,55442,2,0,560,20,False,16,https://github.com/jgm/pandocfilters
click-repl,49916157,2023-06-15,53,6905,1,0,239,28,False,9,https://github.com/untitaker/click-repl
py,49662042,2021-11-04,416,132961,7,2,72,16,False,65,https://github.com/pytest-dev/py
semantic-version,48621281,2022-05-26,298,5707,1,0,293,44,False,26,https://github.com/rbarrois/python-semanticversion
antlr4-python3-runtime,48233115,2024-08-03,236,3834,2,0,,,,22,
pysocks,48108484,2019-09-20,222,7147,1,0,1281,64,False,19,https://github.com/Anorov/PySocks
