slug,asennukset,paivitetty,haku,korvaajia,paras,paras_asennukset,paras_paivitetty
template-kit-import,400000,2024-08-01,template kit 8211,0,,0,
limit-login-attempts,300000,2023-04-04,limit login attempts,1,limit-login-attempts-reloaded,1000000,2026-09-10
health-check,200000,2024-07-25,health check amp,0,,0,
layout-grid,200000,2023-07-11,layout grid block,0,,0,
search-and-replace,100000,2024-08-26,search amp replace,0,,0,
addquicktag,100000,2021-05-20,addquicktag,0,,0,
woosidebars,100000,2024-04-03,woosidebars,0,,0,
wp-downgrade,100000,2023-05-08,downgrade specific core,0,,0,
backupwordpress,80000,2024-04-24,backupwordpress,0,,0,
disable-json-api,80000,2023-09-14,disable rest api,1,disable-xml-rpc-api,100000,2026-02-04
heartbeat-control,80000,2023-08-31,heartbeat control,0,,0,
q2w3-fixed-widget,70000,2023-03-30,fixed sticky elements,1,mystickyelements,40000,2026-09-03
php-code-widget,70000,2022-03-30,php code,3,insert-php-code-snippet,90000,2026-06-22
facebook-messenger-customer-chat,70000,2022-07-05,facebook chat 8211,0,,0,
title-remover,70000,2021-06-03,title remover,0,,0,
hotjar,70000,2023-10-25,hotjar,0,,0,
async-javascript,70000,2023-06-22,async javascript,0,,0,
wp-show-posts,60000,2024-04-16,show posts,0,,0,
woocommerce-extra-checkout-fields-for-brazil,60000,2024-02-17,brazilian market woocommerce,0,,0,
easy-theme-and-plugin-upgrades,60000,2022-04-20,theme upgrades,0,,0,
enhanced-media-library,60000,2024-07-15,enhanced media library,4,media-library-assistant,70000,2026-09-07
column-shortcodes,60000,2022-10-11,column shortcodes,0,,0,
all-in-one-favicon,60000,2023-08-08,all one favicon,1,change-wp-admin-login,60000,2026-08-18
add-from-server,60000,2020-12-11,add from server,1,auto-image-attributes-from-filename-with-bulk-updater,100000,2026-09-01
html-editor-syntax-highlighter,60000,2024-03-16,html editor syntax,0,,0,
sakura-rs-wp-ssl,50000,2019-11-25,ssl sakura rental,0,,0,
contact-form-7-add-confirm,50000,2018-02-27,contact form add,16,forminator,600000,2026-08-27
portfolio-post-type,40000,2020-08-29,portfolio post type,2,custom-post-type-ui,1000000,2026-07-14
wp-extra-file-types,40000,2023-10-28,extra file types,0,,0,
revision-control,40000,2018-04-01,revision control,0,,0,
wp-edit,40000,2018-10-15,edit,2,pw-bulk-edit,20000,2026-09-13
login-logo,40000,2024-09-11,login logo,0,,0,
disable-google-fonts,40000,2019-02-24,disable google fonts,3,disable-remove-google-fonts,100000,2026-09-13
underconstruction,40000,2024-03-08,underconstruction,0,,0,
upload-max-file-size,40000,2023-08-14,increase maximum upload,2,wp-maximum-upload-file-size,70000,2026-08-01
my-plugins,30000,2013-07-02,my-plugins,15,my-calendar,20000,2026-09-14
export-media-library,30000,2023-04-05,export media library,4,media-library-assistant,70000,2026-09-07
recaptcha-for-mw-wp-form,30000,2024-05-09,recaptcha form,1,wpcf7-recaptcha,200000,2026-06-05
hide-title,30000,2019-05-22,hide title,1,hide-page-and-post-title,40000,2026-09-04
display-php-version,30000,2023-05-16,display php version,0,,0,
enhanced-text-widget,30000,2024-07-17,enhanced text,0,,0,
ts-webfonts-for-sakura,30000,2024-02-14,webfonts,1,xserver-typesquare-webfonts,100000,2025-12-04
wp-updates-notifier,30000,2020-02-14,updates notifier,0,,0,
selfhost-google-fonts,30000,2018-06-15,self hosted google,0,,0,
scripts-n-styles,30000,2023-06-06,scripts styles,0,,0,
lightweight-social-icons,30000,2020-03-18,lightweight social icons,2,easy-social-icons,20000,2025-11-09
