slug,nimi,aktiiviset_asennukset,viimeinen_paivitys,tested,varoitus_3_paaversiota,arvosana,arvosteluja,tukiketjut_avoinna,tukiketjut_ratkaistu,lisatty,tekija
template-kit-import,Template Kit &#8211; Import,400000,2024-08-01,6.4.10,True,68,16,0,0,2020-01-09,envato
limit-login-attempts,Limit Login Attempts,300000,2023-04-04,6.2.11,True,92,202,0,0,2009-01-15,Automattic
health-check,Health Check &amp; Troubleshooting,200000,2024-07-25,6.6.7,True,72,181,1,0,2018-06-09,WordPress.org
layout-grid,Layout Grid Block,200000,2023-07-11,6.2.11,True,94,13,0,0,2019-11-07,Automattic
search-and-replace,Search &amp; Replace,100000,2024-08-26,6.5.10,True,86,283,1,0,2007-05-14,WP Media
addquicktag,AddQuicktag,100000,2021-05-20,5.7.17,True,94,44,0,0,2007-05-04,Frank Bueltge
woosidebars,WooSidebars,100000,2024-04-03,6.5.10,True,78,48,1,0,2012-12-04,WooThemes
wp-downgrade,WP Downgrade | Specific Core Version,100000,2023-05-08,6.2.11,True,96,169,0,0,2016-04-30,Reisetiger
backupwordpress,BackUpWordPress,80000,2024-04-24,6.5.10,True,94,1373,1,0,2007-09-02,Tom Willmot
disable-json-api,Disable REST API,80000,2023-09-14,6.3.10,True,96,38,0,0,2014-10-03,Dave McHale
heartbeat-control,Heartbeat Control,80000,2023-08-31,6.3.10,True,84,68,0,0,2014-11-16,WP Media
q2w3-fixed-widget,Fixed Widget and Sticky Elements for WordPress,70000,2023-03-30,6.2.11,True,94,262,0,0,2012-11-19,monetizemore
php-code-widget,PHP Code Widget,70000,2022-03-30,5.9.16,True,94,61,0,0,2008-03-20,Samuel Wood (Otto)
facebook-messenger-customer-chat,Facebook Chat Plugin &#8211; Live Chat Plugin for WordPress,70000,2022-07-05,5.9.16,True,70,302,0,0,2018-09-26,Facebook
title-remover,Title Remover,70000,2021-06-03,5.7.17,True,78,68,0,0,2014-06-16,WPGurus
hotjar,Hotjar,70000,2023-10-25,6.0.14,True,58,18,1,0,2019-01-16,Hotjar
async-javascript,Async JavaScript,70000,2023-06-22,6.2.11,True,94,102,0,0,2014-12-11,David Clough
wp-show-posts,WP Show Posts,60000,2024-04-16,6.1.12,True,94,80,1,0,2016-07-23,Tom
woocommerce-extra-checkout-fields-for-brazil,Brazilian Market on WooCommerce,60000,2024-02-17,6.4.10,True,96,515,0,0,2012-11-11,Claudio Sanches
easy-theme-and-plugin-upgrades,Easy Theme and Plugin Upgrades,60000,2022-04-20,5.7.17,True,94,117,0,0,2011-07-06,Chris Jean
enhanced-media-library,Enhanced Media Library,60000,2024-07-15,6.5.10,True,86,298,1,0,2013-11-03,webbistro
column-shortcodes,Column Shortcodes,60000,2022-10-11,6.0.14,True,96,134,0,0,2012-08-02,Tobias Schutter
all-in-one-favicon,All In One Favicon,60000,2023-08-08,6.2.11,True,90,82,0,0,2010-05-06,Garrett Grimm
