jarjestys,nimi,lataukset_kk,viimeinen_julkaisu_pypi,advisoryja,repo
1,sparqlwrapper,1332815,2022-03-13,0,https://github.com/RDFLib/sparqlwrapper
2,backports.tarfile,45821602,2024-05-28,0,https://github.com/jaraco/backports.tarfile
3,textwrap3,1274087,2019-01-23,0,https://github.com/jonathaneunice/textwrap3
4,rstr,2886021,2023-10-11,0,https://github.com/leapfrogonline/rstr
5,sphinxcontrib-jquery,11967600,2023-03-14,0,https://github.com/sphinx-contrib/jquery
6,telepath,886039,2023-06-12,0,https://github.com/wagtail/telepath
7,s3cmd,1374552,2023-12-12,0,
8,spacy-loggers,18917993,2023-09-11,0,https://github.com/explosion/spacy-loggers
9,funcsigs,3097426,2016-04-25,0,https://github.com/testing-cabal/funcsigs
10,python-lsp-jsonrpc,1994163,2023-09-23,0,https://github.com/python-lsp/python-lsp-jsonrpc
11,enum-compat,6658910,2019-10-14,0,https://github.com/jstasiak/enum-compat
12,graphql-server-core,893686,2020-03-17,0,https://github.com/graphql-python/graphql-server-core
13,openapi-schema-pydantic,1084252,2022-06-29,0,https://github.com/kuimono/openapi-schema-pydantic
14,jcs,1574983,2022-04-10,0,https://github.com/titusz/jcs
15,forbiddenfruit,2418090,2021-01-16,0,https://github.com/clarete/forbiddenfruit
16,pip-hello-world,1334385,2017-03-23,0,
17,azure-mgmt-machinelearningcompute,1644429,2022-11-02,0,https://github.com/Azure/azure-sdk-for-python
18,pytest-shard,1539582,2020-12-11,0,https://github.com/AdamGleave/pytest-shard
19,scrapbook,2020269,2021-01-06,0,https://github.com/nteract/scrapbook
20,pyro-api,1133576,2020-05-15,0,https://github.com/pyro-ppl/pyro-api
